Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
NE_batteries_1,1,191.0,0.0,0.0,191.0,741.0,0.0,0.0,741.0,0.0,0.0,0.0,0.0
NE_biomass_1,1,1299.0,0.0,0.0,1299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_conventional_hydroelectric_1,1,1227.0,0.0,0.0,1227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_conventional_steam_coal_1,1,842.0,0.0,0.0,842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_hydroelectric_pumped_storage_1,1,1778.0,0.0,0.0,1778.0,27853.5,0.0,0.0,27853.5,0.0,0.0,0.0,0.0
NE_natural_gas_fired_combined_cycle_1,1,16395.0,0.0,0.0,16395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_natural_gas_fired_combustion_turbine_1,1,4234.0,0.0,0.0,4234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_nuclear_1,1,3606.0,0.0,0.0,3606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_offshore_wind_turbine_1,1,82.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_onshore_wind_turbine_1,1,1361.0,0.0,0.0,1361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_other_peaker_1,1,2325.0,2325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_small_hydroelectric_1,1,741.0,0.0,0.0,741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_solar_photovoltaic_1,1,2603.0,0.0,0.0,2603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_batteries_1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_biomass_1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_conventional_hydroelectric_1,2,3333.0,0.0,0.0,3333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_hydroelectric_pumped_storage_1,2,1407.0,0.0,0.0,1407.0,21779.0,0.0,0.0,21779.0,0.0,0.0,0.0,0.0
NY_natural_gas_fired_combined_cycle_1,2,10843.0,0.0,0.0,10843.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_natural_gas_fired_combustion_turbine_1,2,12004.0,2808.145948197028,0.0,9195.854051802973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_nuclear_1,2,3305.0,0.0,0.0,3305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_onshore_wind_turbine_1,2,2051.0,0.0,0.0,2051.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_other_peaker_1,2,3079.0,3079.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_small_hydroelectric_1,2,932.0,0.0,0.0,932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_solar_photovoltaic_1,2,154.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QC_conventional_hydroelectric_1,3,23217.0,0.0,0.0,23217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QC_conventional_steam_coal_1,3,388.0,0.0,0.0,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QC_hydroelectric_pumped_storage_1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QC_natural_gas_fired_combustion_turbine_1,3,411.0,0.0,0.0,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QC_onshore_wind_turbine_1,3,3508.0,0.0,0.0,3508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QC_other_peaker_1,3,1056.0,1056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QC_small_hydroelectric_1,3,13725.0,0.0,0.0,13725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QC_solar_photovoltaic_1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ON_conventional_hydroelectric_1,4,6802.0,0.0,0.0,6802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
