Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
NE_batteries_1,1,358.4,171.73656561916061,0.0,186.66343438083936,741.0,0.0,0.0,741.0,0.0,0.0,0.0,0.0
NE_biomass_1,1,246.2,0.0,0.0,246.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_conventional_hydroelectric_1,1,1083.6,0.0,0.0,1083.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_conventional_steam_coal_1,1,534.6,0.0,0.0,534.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_hydroelectric_pumped_storage_1,1,1797.0,1206.9363931352543,0.0,590.0636068647457,27853.5,0.0,0.0,27853.5,0.0,0.0,0.0,0.0
NE_natural_gas_fired_combined_cycle_1,1,14333.6,0.0,0.0,14333.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_natural_gas_fired_combustion_turbine_1,1,2020.0,0.0,0.0,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_natural_gas_steam_turbine_1,1,1435.0,1435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_nuclear_1,1,3348.1,0.0,0.0,3348.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_offshore_wind_turbine_1,1,29.3,0.0,0.0,29.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_onshore_wind_turbine_1,1,1546.2,1546.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_other_peaker_1,1,5236.1,5236.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_small_hydroelectric_1,1,383.6,0.0,0.0,383.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_solar_photovoltaic_1,1,2654.2,1654.1999999999969,0.0,1000.000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_batteries_1,2,197.2,0.0,0.0,197.2,494.2,0.0,0.0,494.2,0.0,0.0,0.0,0.0
NY_biomass_1,2,234.5,0.0,0.0,234.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_conventional_hydroelectric_1,2,3633.4,0.0,0.0,3633.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_hydroelectric_pumped_storage_1,2,1405.1,0.0,0.0,1405.1,21779.0,0.0,0.0,21779.0,0.0,0.0,0.0,0.0
NY_natural_gas_fired_combined_cycle_1,2,12324.6,7007.695604024793,0.0,5316.904395975207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_natural_gas_fired_combustion_turbine_1,2,3438.1,2170.3868023168657,0.0,1267.7131976831342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_natural_gas_steam_turbine_1,2,9831.6,9831.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_nuclear_1,2,3375.3,0.0,0.0,3375.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_onshore_wind_turbine_1,2,3389.0,3389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_other_peaker_1,2,4000.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_small_hydroelectric_1,2,604.4,0.0,0.0,604.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_solar_photovoltaic_1,2,1865.8,1865.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QC_conventional_hydroelectric_1,3,42000.0,0.0,0.0,42000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QC_conventional_steam_coal_1,3,388.0,0.0,0.0,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QC_hydroelectric_pumped_storage_1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QC_natural_gas_fired_combustion_turbine_1,3,411.0,0.0,0.0,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QC_onshore_wind_turbine_1,3,3580.0,3580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
