Resource,NE_batteries_1,NE_biomass_1,NE_conventional_hydroelectric_1,NE_conventional_steam_coal_1,NE_hydroelectric_pumped_storage_1,NE_natural_gas_fired_combined_cycle_1,NE_natural_gas_fired_combustion_turbine_1,NE_nuclear_1,NE_offshore_wind_turbine_1,NE_onshore_wind_turbine_1,NE_other_peaker_1,NE_small_hydroelectric_1,NE_solar_photovoltaic_1,NY_batteries_1,NY_biomass_1,NY_conventional_hydroelectric_1,NY_hydroelectric_pumped_storage_1,NY_natural_gas_fired_combined_cycle_1,NY_natural_gas_fired_combustion_turbine_1,NY_nuclear_1,NY_onshore_wind_turbine_1,NY_other_peaker_1,NY_small_hydroelectric_1,NY_solar_photovoltaic_1,QC_conventional_hydroelectric_1,QC_conventional_steam_coal_1,QC_hydroelectric_pumped_storage_1,QC_natural_gas_fired_combustion_turbine_1,QC_onshore_wind_turbine_1,QC_other_peaker_1,QC_small_hydroelectric_1,QC_solar_photovoltaic_1,ON_conventional_hydroelectric_1,ON_conventional_steam_coal_1,ON_hydroelectric_pumped_storage_1,ON_natural_gas_fired_combustion_turbine_1,ON_natural_gas_fired_combined_cycle_1,ON_onshore_wind_turbine_1,ON_small_hydroelectric_1,ON_solar_photovoltaic_1,ON_nuclear_1,AT_conventional_hydroelectric_1,AT_conventional_steam_coal_1,AT_hydroelectric_pumped_storage_1,AT_natural_gas_fired_combustion_turbine_1,AT_natural_gas_fired_combined_cycle_1,AT_onshore_wind_turbine_1,AT_small_hydroelectric_1,AT_solar_photovoltaic_1,AT_nuclear_1,NY_naturalgas_ccavgcf_moderate_1,NE_naturalgas_ccavgcf_moderate_1,QC_naturalgas_ccavgcf_moderate_1,ON_naturalgas_ccavgcf_moderate_1,AT_naturalgas_ccavgcf_moderate_1,ON_biomass_1,AT_biomass_1,AT_other_peaker_1,NE_batteries_pld_1,NE_solar_photovoltaic_pld1,NY_solar_photovoltaic_pld_1,NY_onshore_wind_turbine_pld_1,NY_offshore_wind_turbine_pld_1,QC_conventional_hydroelectric_pld_1,QC_onshore_wind_turbine_pld1,AT_natural_gas_fired_combined_cycle_pld_1,AT_onshore_wind_turbine_pld_1,AT_solar_photovoltaic_pld_1,AT_nuclear_pld_1,AT_battery_pld_1,AT_small_hydroelectric_pld_1,ON_nuclear_SMR_upld_1,ON_hydroelectric_pumped_storage_upld_1,ON_Battery_upld_1,ON_naturalgas_ccavgcf_moderate_upld_1
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,2,1,3,4,5,4,5,5,1,1,2,2,2,3,3,5,5,5,5,5,5,4,4,4,4
t1,0.0,0.0,638.0400000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2173.116,1026.0018684466804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.663190446326508e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679791.8800000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810013.6999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.402800519605227e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.0,0.0,638.0400000000001,0.0,1197.4725848975424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3189.114225333349,2244.4638684466804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.66225172984903e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679819.0880000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810046.1199999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.401324519605227e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.0,0.0,959.5140000000001,0.0,2457.168062721952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.7102489139997,2244.4638684466804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.661675827116676e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679846.2960000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810078.5399999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.5853786822877,0.0,0.0,0.0,0.0,8.400332519605227e6,0.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0
t4,175.72,0.0,905.526,0.0,3996.916062721952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.7102489139997,3462.9258684466804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.661148227722952e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679873.5040000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810110.9599999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.5853786822877,0.0,0.0,0.0,0.0,8.400340519605227e6,0.0,0.0,0.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0
t5,351.44,0.0,1227.0,0.0,5536.664062721952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.7102489139997,3957.2328641457643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.660689813899781e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679900.7120000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810143.3799999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,919.7853786822877,0.0,0.0,0.0,0.0,8.399864519605227e6,0.0,0.0,0.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0
t6,351.44,0.0,1227.0,0.0,7076.412062721953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.7102489139997,5175.694864145764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.660289163694812e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679927.9200000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810175.7999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,919.7853786822877,0.0,0.0,0.0,0.0,8.398388519605227e6,0.0,0.0,0.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0
t7,351.46397471792335,0.0,1227.0,0.0,8616.160062721952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.7102489139997,6394.156864145763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.659588463399541e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679955.1280000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810208.2199999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1572.9853786822878,0.0,0.0,0.0,0.0,8.397912519605227e6,0.0,0.0,0.0,0.0,0.0,414.0,0.0,0.0,0.0,0.0,0.0
t8,388.51676087549765,0.0,1200.006,0.0,10155.908062721952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.7102489139997,7001.3985539909845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.659076290696706e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679982.3360000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810240.6399999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1572.9853786822878,0.0,0.0,0.0,0.0,8.396920519605227e6,0.0,0.0,0.0,0.0,0.0,418.23085645239854,0.0,0.0,0.0,0.0,0.0
t9,564.2367608754977,0.0,906.753,0.0,11695.656062721951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.7102489139997,8219.860553990984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.658410542035496e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680009.5440000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810273.0599999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1572.9853786822878,0.0,0.0,0.0,0.0,8.396928519605227e6,0.0,0.0,0.0,0.0,0.0,556.2308564523985,0.0,0.0,0.0,0.0,0.0
t10,565.28,0.0,1227.0,0.0,13235.404062721951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.7102489139997,9438.322553990984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.657453976585849e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680036.7520000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810305.4799999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2186.8,0.0,0.0,0.0,0.0,8.396452519605227e6,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0
t11,565.28,0.0,1227.0,0.0,14775.15206272195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.7102489139997,10092.683127921307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.65638711717508e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680063.9600000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810337.8999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2186.8,0.0,0.0,0.0,0.0,8.394976519605227e6,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0
t12,565.28,0.0,1227.0,0.0,16314.90006272195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.7102489139997,10092.683127921307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.654868868089569e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680091.1680000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810370.3199999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2840.0,0.0,0.0,0.0,0.0,8.394500519605227e6,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0
t13,565.28,0.0,1227.0,0.0,17722.565842860356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.7102489139997,10092.683127921307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.653174068143274e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680118.376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810402.7399999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2840.0,0.0,0.0,0.0,0.0,8.393024519605227e6,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0
t14,565.28,0.0,1227.0,0.0,18836.370976998765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.7102489139997,11311.145127921307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.651460653543274e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680145.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810435.1599999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2840.0,0.0,0.0,0.0,0.0,8.391884958575549e6,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0
t15,741.0,0.0,1227.0,0.0,18943.983701137175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.7102489139997,12529.607127921307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.649961271408415e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680172.792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810467.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2840.0,0.0,0.0,0.0,0.0,8.390408958575549e6,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0
t16,741.0,0.0,1227.0,0.0,18943.983701137175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.7102489139997,12529.607127921307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.648354221850984e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2840.0,0.0,0.0,0.0,0.0,8.388932958575549e6,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0
t17,622.8260869565217,0.0,1227.0,0.0,16890.865918227246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3707.333773619588,10904.895811524078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.646640807250984e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2315.217391304348,0.0,0.0,0.0,0.0,8.387456958575549e6,0.0,0.0,0.0,0.0,0.0,466.97485478370606,0.0,0.0,0.0,0.0,0.0
t18,415.2173913043478,0.0,1227.0,0.0,14837.748135317315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3333.0,9280.18449512685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.644927392650984e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679877.9127547591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810070.2877085661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1543.4782608695652,0.0,0.0,0.0,0.0,8.385980958575549e6,0.0,0.0,0.0,0.0,0.0,303.9313765228365,0.0,0.0,0.0,0.0,0.0
t19,207.6086956521739,0.0,1227.0,0.0,12784.630352407385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2199.78,7655.473178729622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.643213978050984e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679683.0480000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,809819.1799999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,771.7391304347826,0.0,0.0,0.0,0.0,8.384504958575549e6,0.0,0.0,0.0,0.0,0.0,140.88789826196694,0.0,0.0,0.0,0.0,0.0
