Time_Index,new_england_naturalgas,middle_atlantic_naturalgas,new_england_coal,middle_atlantic_coal,middle_atlantic_uranium,new_england_uranium,None,new_england_bio,middle_atlantic_bio,new_england_bio_ccs,middle_atlantic_bio_ccs,new_england_naturalgas_ccs,middle_atlantic_naturalgas_ccs
0,0.05244,0.05244,0.107120085,0.107120085,0,0,0,0,0,0,0,0,0
1,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
2,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
3,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
4,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
5,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
6,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
7,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
8,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
9,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
10,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
11,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
12,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
13,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
14,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
15,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
16,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
17,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
18,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
19,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
20,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
21,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
22,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
23,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
24,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
25,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
26,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
27,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
28,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
29,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
30,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
31,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
32,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
33,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
34,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
35,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
36,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
37,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
38,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
39,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
40,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
41,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
42,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
43,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
44,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
45,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
46,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
47,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
48,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
49,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
50,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
51,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
52,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
53,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
54,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
55,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
56,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
57,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
58,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
59,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
60,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
61,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
62,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
63,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
64,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
65,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
66,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
67,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
68,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
69,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
70,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
71,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
72,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
73,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
74,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
75,5.45,5.45,2.13,2.13,0.69,0.69,0,5,5,5,5,5.45,5.45
