Time_Index,NE_batteries_1,NE_biomass_1,NE_conventional_hydroelectric_1,NE_conventional_steam_coal_1,NE_hydroelectric_pumped_storage_1,NE_natural_gas_fired_combined_cycle_1,NE_natural_gas_fired_combustion_turbine_1,NE_natural_gas_steam_turbine_1,NE_nuclear_1,NE_offshore_wind_turbine_1,NE_onshore_wind_turbine_1,NE_other_peaker_1,NE_small_hydroelectric_1,NE_solar_photovoltaic_1,NY_batteries_1,NY_biomass_1,NY_conventional_hydroelectric_1,NY_hydroelectric_pumped_storage_1,NY_natural_gas_fired_combined_cycle_1,NY_natural_gas_fired_combustion_turbine_1,NY_natural_gas_steam_turbine_1,NY_nuclear_1,NY_onshore_wind_turbine_1,NY_other_peaker_1,NY_small_hydroelectric_1,NY_solar_photovoltaic_1,NE_battery_moderate_1,NE_naturalgas_ccavgcf_moderate_1,NE_naturalgas_ccccsavgcf_conservative_1,NE_naturalgas_ctavgcf_moderate_1,NY_battery_moderate_1,NY_naturalgas_ccavgcf_moderate_1,NY_naturalgas_ccccsavgcf_conservative_1,NY_naturalgas_ctavgcf_moderate_1,QC_conventional_hydroelectric_1,QC_conventional_steam_coal_1,QC_hydroelectric_pumped_storage_1,QC_natural_gas_fired_combustion_turbine_1,QC_onshore_wind_turbine_1,QC_other_peaker_1,QC_small_hydroelectric_1,QC_solar_photovoltaic_1,ON_conventional_hydroelectric_1,ON_conventional_steam_coal_1,ON_hydroelectric_pumped_storage_1,ON_natural_gas_fired_combustion_turbine_1,ON_natural_gas_fired_combined_cycle_1,ON_onshore_wind_turbine_1,ON_small_hydroelectric_1,ON_solar_photovoltaic_1,ON_nuclear_1,AT_conventional_hydroelectric_1,AT_conventional_steam_coal_1,AT_hydroelectric_pumped_storage_1,AT_natural_gas_fired_combustion_turbine_1,AT_natural_gas_fired_combined_cycle_1,AT_onshore_wind_turbine_1,AT_small_hydroelectric_1,AT_solar_photovoltaic_1,AT_nuclear_1,QC_naturalgas_ccavgcf_moderate_1,ON_naturalgas_ccavgcf_moderate_1,AT_naturalgas_ccavgcf_moderate_1
1,1,1,0.52,1,1,1,1,1,1,0.498,0.498,1,0.379888598,0,1,1,0.652,1,1,1,1,1,0.118,1,0.552743642,0,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,0.080384114,1,0.379888598,0,2.62E-01,1,1,1,1,0.118744716,0.379888598,0,1,2.62E-01,1,1,1,1,0,0.379888598,0,1,1,1,1
2,1,1,0.52,1,1,1,1,1,1,0.479,0.479,1,0.379888598,0,1,1,0.652,1,1,1,1,1,0.099,1,0.552743642,0,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,0.094539546,1,0.379888598,0,2.62E-01,1,1,1,1,0.228545804,0.379888598,0,1,2.62E-01,1,1,1,1,0,0.379888598,0,1,1,1,1
3,1,1,0.52,1,1,1,1,1,1,0.452,0.452,1,0.379888598,0,1,1,0.653,1,1,1,1,1,0.115,1,0.552743642,0,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,0.118744716,1,0.379888598,0,2.62E-01,1,1,1,1,0.353849641,0.379888598,0,1,2.62E-01,1,1,1,1,0,0.379888598,0,1,1,1,1
4,1,1,0.52,1,1,1,1,1,1,0.426,0.426,1,0.379888598,0,1,1,0.653,1,1,1,1,1,0.108,1,0.552743642,0,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,0.167701219,1,0.379888598,0,2.62E-01,1,1,1,1,0.372148674,0.379888598,0,1,2.62E-01,1,1,1,1,0,0.379888598,0,1,1,1,1
5,1,1,0.52,1,1,1,1,1,1,0.411,0.411,1,0.379888598,0,1,1,0.654,1,1,1,1,1,0.097,1,0.552743642,0,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,0.228545804,1,0.379888598,0,2.62E-01,1,1,1,1,0.190540121,0.379888598,0,1,2.62E-01,1,1,1,1,0,0.379888598,0,1,1,1,1
6,1,1,0.52,1,1,1,1,1,1,0.373,0.373,1,0.379888598,0,1,1,0.654,1,1,1,1,1,0.127,1,0.552743642,0,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,0.319070969,1,0.379888598,0,2.62E-01,1,1,1,1,0.056456332,0.379888598,0,1,2.62E-01,1,1,1,1,0.020962652,0.379888598,0,1,1,1,1
7,1,1,0.52,1,1,1,1,1,1,0.319,0.319,1,0.379888598,0,1,1,0.655,1,1,1,1,1,0.131,1,0.552743642,0,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,0.41061782,1,0.379888598,0,2.62E-01,1,1,1,1,0.14676441,0.379888598,0,1,2.62E-01,1,1,1,1,0.033912048,0.379888598,0,1,1,1,1
8,1,1,0.52,1,1,1,1,1,1,0.219,0.219,1,0.379888598,0,1,1,0.655,1,1,1,1,1,0.165,1,0.552743642,0,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,0.451650657,1,0.379888598,0,2.62E-01,1,1,1,1,0.518187739,0.379888598,0,1,2.62E-01,1,1,1,1,0.046518584,0.379888598,0,1,1,1,1
9,1,1,0.519,1,1,1,1,1,1,0.172,0.172,1,0.379888598,0.182,1,1,0.655,1,1,1,1,1,0.218,1,0.552743642,0.108,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,0.451650657,1,0.379888598,0.09005625,2.62E-01,1,1,1,1,0.590958311,0.379888598,0.00396625,1,2.62E-01,1,1,1,1,0.067717275,0.379888598,0.0229685,1,1,1,1
10,1,1,0.519,1,1,1,1,1,1,0.054,0.054,1,0.379888598,0.427,1,1,0.656,1,1,1,1,1,0.058,1,0.552743642,0.367,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,0.430808609,1,0.379888598,0.08827525,2.62E-01,1,1,1,1,0.430808609,0.379888598,0.04980725,1,2.62E-01,1,1,1,1,0.080384114,0.379888598,0.13356625,1,1,1,1
11,1,1,0.519,1,1,1,1,1,1,0.019,0.019,1,0.379888598,0.575,1,1,0.656,1,1,1,1,1,0.072,1,0.552743642,0.496,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,0.372148674,1,0.379888598,0.217708,2.62E-01,1,1,1,1,0.256501751,0.379888598,0.01663875,1,2.62E-01,1,1,1,1,0.087270587,0.379888598,0.18952075,1,1,1,1
12,1,1,0.519,1,1,1,1,1,1,0.006,0.006,1,0.379888598,0.648,1,1,0.657,1,1,1,1,1,0.106,1,0.552743642,0.571,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,0.286649239,1,0.379888598,0.14875625,2.62E-01,1,1,1,1,0.087270587,0.379888598,0.10521075,1,2.62E-01,1,1,1,1,0.087270587,0.379888598,0.14489425,1,1,1,1
13,1,1,0.519,1,1,1,1,1,1,0.003,0.003,1,0.379888598,0.619,1,1,0.657,1,1,1,1,1,0.128,1,0.552743642,0.576,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,0.202698701,1,0.379888598,0.07852275,2.62E-01,1,1,1,1,0.073869789,0.379888598,0.09521875,1,2.62E-01,1,1,1,1,0.080384114,0.379888598,0.08561475,1,1,1,1
14,1,1,0.519,1,1,1,1,1,1,0.004,0.004,1,0.379888598,0.601,1,1,0.658,1,1,1,1,1,0.188,1,0.552743642,0.536,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,0.136983447,1,0.379888598,0.07363175,2.62E-01,1,1,1,1,0.302570655,0.379888598,0.1142065,1,2.62E-01,1,1,1,1,0.073869789,0.379888598,0.061017,1,1,1,1
15,1,1,0.519,1,1,1,1,1,1,0.007,0.007,1,0.379888598,0.503,1,1,0.658,1,1,1,1,1,0.21,1,0.552743642,0.439,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,0.087270587,1,0.379888598,0.042383,2.62E-01,1,1,1,1,0.756316372,0.379888598,0.09272825,1,2.62E-01,1,1,1,1,0.061916236,0.379888598,0.033177,1,1,1,1
16,1,1,0.519,1,1,1,1,1,1,0.021,0.021,1,0.379888598,0.332,1,1,0.658,1,1,1,1,1,0.177,1,0.552743642,0.308,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,0.051327228,1,0.379888598,0.008253,2.62E-01,1,1,1,1,0.817610637,0.379888598,0.0524585,1,2.62E-01,1,1,1,1,0.056456332,0.379888598,0,1,1,1,1
17,1,1,0.519,1,1,1,1,1,1,0.059,0.059,1,0.379888598,0.073,1,1,0.659,1,1,1,1,1,0.165,1,0.552743642,0.089,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,0.023817515,1,0.379888598,0,2.62E-01,1,1,1,1,0.643072909,0.379888598,0.0056305,1,2.62E-01,1,1,1,1,0.046518584,0.379888598,0,1,1,1,1
18,1,1,0.519,1,1,1,1,1,1,0.181,0.181,1,0.379888598,0,1,1,0.659,1,1,1,1,1,0.672,1,0.552743642,0,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,0,1,0.379888598,0,2.62E-01,1,1,1,1,0.518187739,0.379888598,0,1,2.62E-01,1,1,1,1,0.037821332,0.379888598,0,1,1,1,1
19,1,1,0.519,1,1,1,1,1,1,0.28,0.28,1,0.379888598,0,1,1,0.66,1,1,1,1,1,0.763,1,0.552743642,0,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,0,1,0.379888598,0,2.62E-01,1,1,1,1,0.41061782,0.379888598,0,1,2.62E-01,1,1,1,1,0.026920477,0.379888598,0,1,1,1,1
20,1,1,0.519,1,1,1,1,1,1,0.368,0.368,1,0.379888598,0,1,1,0.66,1,1,1,1,1,0.734,1,0.552743642,0,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,0.670241485,1,0.379888598,0,2.62E-01,1,1,1,1,0.319070969,0.379888598,0,1,2.62E-01,1,1,1,1,0,0.379888598,0,1,1,1,1
21,1,1,0.519,1,1,1,1,1,1,0.396,0.396,1,0.379888598,0,1,1,0.661,1,1,1,1,1,0.771,1,0.552743642,0,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,1,1,0.379888598,0,2.62E-01,1,1,1,1,0.256501751,0.379888598,0,1,2.62E-01,1,1,1,1,0,0.379888598,0,1,1,1,1
22,1,1,0.519,1,1,1,1,1,1,0.425,0.425,1,0.379888598,0,1,1,0.661,1,1,1,1,1,0.791,1,0.552743642,0,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,1,1,0.379888598,0,2.62E-01,1,1,1,1,0.215363816,0.379888598,0,1,2.62E-01,1,1,1,1,0,0.379888598,0,1,1,1,1
23,1,1,0.519,1,1,1,1,1,1,0.381,0.381,1,0.379888598,0,1,1,0.661,1,1,1,1,1,0.789,1,0.552743642,0,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,1,1,0.379888598,0,2.62E-01,1,1,1,1,0.215363816,0.379888598,0,1,2.62E-01,1,1,1,1,0.037821332,0.379888598,0,1,1,1,1
24,1,1,0.519,1,1,1,1,1,1,0.375,0.375,1,0.379888598,0,1,1,0.662,1,1,1,1,1,0.789,1,0.552743642,0,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,1,1,0.379888598,0,2.62E-01,1,1,1,1,0.215363816,0.379888598,0,1,2.62E-01,1,1,1,1,0.061916236,0.379888598,0,1,1,1,1
25,1,1,0.519,1,1,1,1,1,1,0.368,0.368,1,0.379888598,0,1,1,0.662,1,1,1,1,1,0.707,1,0.552743642,0,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,1,1,0.379888598,0,2.62E-01,1,1,1,1,0.215363816,0.379888598,0,1,2.62E-01,1,1,1,1,0.087270587,0.379888598,0,1,1,1,1
26,1,1,0.519,1,1,1,1,1,1,0.361,0.361,1,0.379888598,0,1,1,0.663,1,1,1,1,1,0.676,1,0.552743642,0,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,1,1,0.379888598,0,2.62E-01,1,1,1,1,0.215363816,0.379888598,0,1,2.62E-01,1,1,1,1,0.10220133,0.379888598,0,1,1,1,1
27,1,1,0.519,1,1,1,1,1,1,0.388,0.388,1,0.379888598,0,1,1,0.663,1,1,1,1,1,0.774,1,0.552743642,0,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,1,1,0.379888598,0,2.62E-01,1,1,1,1,0.202698701,0.379888598,0,1,2.62E-01,1,1,1,1,0.110266274,0.379888598,0,1,1,1,1
28,1,1,0.519,1,1,1,1,1,1,0.47,0.47,1,0.379888598,0,1,1,0.664,1,1,1,1,1,0.723,1,0.552743642,0,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,1,1,0.379888598,0,2.62E-01,1,1,1,1,0.202698701,0.379888598,0,1,2.62E-01,1,1,1,1,0.110266274,0.379888598,0,1,1,1,1
29,1,1,0.518,1,1,1,1,1,1,0.411,0.411,1,0.379888598,0,1,1,0.664,1,1,1,1,1,0.719,1,0.552743642,0,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,1,1,0.379888598,0,2.62E-01,1,1,1,1,0.202698701,0.379888598,0,1,2.62E-01,1,1,1,1,0.110266274,0.379888598,0,1,1,1,1
30,1,1,0.518,1,1,1,1,1,1,0.264,0.264,1,0.379888598,0,1,1,0.664,1,1,1,1,1,0.773,1,0.552743642,0,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,0.915625294,1,0.379888598,0,2.62E-01,1,1,1,1,0.202698701,0.379888598,0,1,2.62E-01,1,1,1,1,0.127646995,0.379888598,0,1,1,1,1
31,1,1,0.518,1,1,1,1,1,1,0.216,0.216,1,0.379888598,0,1,1,0.665,1,1,1,1,1,0.769,1,0.552743642,0,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,0.817610637,1,0.379888598,0,2.62E-01,1,1,1,1,0.242255004,0.379888598,0,1,2.62E-01,1,1,1,1,0.157000222,0.379888598,0,1,1,1,1
32,1,1,0.518,1,1,1,1,1,1,0.224,0.224,1,0.379888598,0,1,1,0.665,1,1,1,1,1,0.682,1,0.552743642,0,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,0.726852879,1,0.379888598,0,2.62E-01,1,1,1,1,0.302570655,0.379888598,0,1,2.62E-01,1,1,1,1,0.17887774,0.379888598,0,1,1,1,1
33,1,1,0.518,1,1,1,1,1,1,0.272,0.272,1,0.379888598,0.159,1,1,0.666,1,1,1,1,1,0.688,1,0.552743642,0.117,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,0.698164696,1,0.379888598,0.01381525,2.62E-01,1,1,1,1,0.353849641,0.379888598,0.1015975,1,2.62E-01,1,1,1,1,0.228545804,0.379888598,0.04201525,1,1,1,1
34,1,1,0.518,1,1,1,1,1,1,0.374,0.374,1,0.379888598,0.36,1,1,0.666,1,1,1,1,1,0.663,1,0.552743642,0.337,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,0.670241485,1,0.379888598,0.04056025,2.62E-01,1,1,1,1,0.391067955,0.379888598,0.37880125,1,2.62E-01,1,1,1,1,0.271296383,0.379888598,0.237706,1,1,1,1
35,1,1,0.518,1,1,1,1,1,1,0.446,0.446,1,0.379888598,0.511,1,1,0.666,1,1,1,1,1,0.772,1,0.552743642,0.453,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,0.698164696,1,0.379888598,0.13467025,2.62E-01,1,1,1,1,0.372148674,0.379888598,0.561416,1,2.62E-01,1,1,1,1,0.302570655,0.379888598,0.391841,1,1,1,1
36,1,1,0.518,1,1,1,1,1,1,0.405,0.405,1,0.379888598,0.583,1,1,0.667,1,1,1,1,1,0.752,1,0.552743642,0.501,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,0.698164696,1,0.379888598,0.131274,2.62E-01,1,1,1,1,0.336160519,0.379888598,0.668142,1,2.62E-01,1,1,1,1,0.302570655,0.379888598,0.4117235,1,1,1,1
37,1,1,0.518,1,1,1,1,1,1,0.429,0.429,1,0.379888598,0.584,1,1,0.667,1,1,1,1,1,0.661,1,0.552743642,0.492,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,0.698164696,1,0.379888598,0.11470725,2.62E-01,1,1,1,1,0.319070969,0.379888598,0.7000505,1,2.62E-01,1,1,1,1,0.271296383,0.379888598,0.5481955,1,1,1,1
38,1,1,0.518,1,1,1,1,1,1,0.356,0.356,1,0.379888598,0.541,1,1,0.668,1,1,1,1,1,0.533,1,0.552743642,0.493,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,0.698164696,1,0.379888598,0.18782275,2.62E-01,1,1,1,1,0.319070969,0.379888598,0.66029025,1,2.62E-01,1,1,1,1,0.242255004,0.379888598,0.29648725,1,1,1,1
39,1,1,0.518,1,1,1,1,1,1,0.396,0.396,1,0.379888598,0.458,1,1,0.668,1,1,1,1,1,0.605,1,0.552743642,0.436,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,0.698164696,1,0.379888598,0.01348425,2.62E-01,1,1,1,1,0.302570655,0.379888598,0.544309,1,2.62E-01,1,1,1,1,0.242255004,0.379888598,0.2726145,1,1,1,1
40,1,1,0.518,1,1,1,1,1,1,0.455,0.455,1,0.379888598,0.323,1,1,0.669,1,1,1,1,1,0.587,1,0.552743642,0.33,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,0.698164696,1,0.379888598,0.00230375,2.62E-01,1,1,1,1,0.228545804,0.379888598,0.346445,1,2.62E-01,1,1,1,1,0.242255004,0.379888598,0,1,1,1,1
41,1,1,0.518,1,1,1,1,1,1,0.4,0.4,1,0.379888598,0.106,1,1,0.669,1,1,1,1,1,0.447,1,0.552743642,0.135,1,1,1,1,1,1,1,1,2.62E-01,1,1,1,0.643072909,1,0.379888598,0,2.62E-01,1,1,1,1,0.167701219,0.379888598,0.0684275,1,2.62E-01,1,1,1,1,0.242255004,0.379888598,0,1,1,1,1
