Time_Index,QC_conventional_hydroelectric_p1,QC_run_of_river_p2,QC_small_hydroelectric_p3,QC_small_hydroelectric_p4,QC_conventional_hydroelectric_p5,QC_small_hydroelectric_p6_7,QC_run_of_river_p8,QC_conventional_hydroelectric_p9_10,QC_run_of_river_p11,QC_conventional_hydroelectric_p12_13,QC_run_of_river_p14,QC_run_of_river_p15,QC_run_of_river_p16,QC_small_hydroelectric_p17,QC_conventional_hydroelectric_p18,QC_run_of_river_p19,QC_run_of_river_p20
1,414.513999,82.2002337,0,39.20318784,546.5964258,801.8386901,43.91038259,47.49346796,0,570.7647007,0,0,0,137.7029556,446,0,0
2,414.513999,82.2002337,0,39.20318784,546.5964258,801.8386901,43.91038259,47.49346796,0,570.7647007,0,0,0,137.7029556,446,0,0
3,414.513999,82.2002337,0,39.20318784,546.5964258,801.8386901,43.91038259,47.49346796,0,570.7647007,0,0,0,137.7029556,446,0,0
4,414.513999,82.2002337,0,39.20318784,546.5964258,801.8386901,43.91038259,47.49346796,0,570.7647007,0,0,0,137.7029556,446,0,0
5,414.513999,82.2002337,0,39.20318784,546.5964258,801.8386901,43.91038259,47.49346796,0,570.7647007,0,0,0,137.7029556,446,0,0
6,414.513999,82.2002337,0,39.20318784,546.5964258,801.8386901,43.91038259,47.49346796,0,570.7647007,0,0,0,137.7029556,446,0,0
7,414.513999,82.2002337,0,39.20318784,546.5964258,801.8386901,43.91038259,47.49346796,0,570.7647007,0,0,0,137.7029556,446,0,0
8,414.513999,82.2002337,0,39.20318784,546.5964258,801.8386901,43.91038259,47.49346796,0,570.7647007,0,0,0,137.7029556,446,0,0
9,414.513999,82.2002337,0,39.20318784,546.5964258,801.8386901,43.91038259,47.49346796,0,570.7647007,0,0,0,137.7029556,446,0,0
10,414.513999,82.2002337,0,39.20318784,546.5964258,801.8386901,43.91038259,47.49346796,0,570.7647007,0,0,0,137.7029556,446,0,0
11,414.513999,82.2002337,0,39.20318784,546.5964258,801.8386901,43.91038259,47.49346796,0,570.7647007,0,0,0,137.7029556,446,0,0
12,414.513999,82.2002337,0,39.20318784,546.5964258,801.8386901,43.91038259,47.49346796,0,570.7647007,0,0,0,137.7029556,446,0,0
13,414.513999,82.2002337,0,39.20318784,546.5964258,801.8386901,43.91038259,47.49346796,0,570.7647007,0,0,0,137.7029556,446,0,0
14,414.513999,82.2002337,0,39.20318784,546.5964258,801.8386901,43.91038259,47.49346796,0,570.7647007,0,0,0,137.7029556,446,0,0
15,414.513999,82.2002337,0,39.20318784,546.5964258,801.8386901,43.91038259,47.49346796,0,570.7647007,0,0,0,137.7029556,446,0,0
16,414.513999,82.2002337,0,39.20318784,546.5964258,801.8386901,43.91038259,47.49346796,0,570.7647007,0,0,0,137.7029556,446,0,0
17,414.513999,82.2002337,0,39.20318784,546.5964258,801.8386901,43.91038259,47.49346796,0,570.7647007,0,0,0,137.7029556,446,0,0
18,414.513999,82.2002337,0,39.20318784,546.5964258,801.8386901,43.91038259,47.49346796,0,570.7647007,0,0,0,137.7029556,446,0,0
19,414.513999,82.2002337,0,39.20318784,546.5964258,801.8386901,43.91038259,47.49346796,0,570.7647007,0,0,0,137.7029556,446,0,0
20,414.513999,82.2002337,0,39.20318784,546.5964258,801.8386901,43.91038259,47.49346796,0,570.7647007,0,0,0,137.7029556,446,0,0
21,414.513999,82.2002337,0,39.20318784,546.5964258,801.8386901,43.91038259,47.49346796,0,570.7647007,0,0,0,137.7029556,446,0,0
22,414.513999,82.2002337,0,39.20318784,546.5964258,801.8386901,43.91038259,47.49346796,0,570.7647007,0,0,0,137.7029556,446,0,0
23,414.513999,82.2002337,0,39.20318784,546.5964258,801.8386901,43.91038259,47.49346796,0,570.7647007,0,0,0,137.7029556,446,0,0
24,414.513999,82.2002337,0,39.20318784,546.5964258,801.8386901,43.91038259,47.49346796,0,570.7647007,0,0,0,137.7029556,446,0,0
25,408.8934702,80.7951015,0,38.57087996,535.3553682,816.1007807,43.13755827,46.50987703,0,650.8572361,0,0,0,130.6772946,483,0,0
26,408.8934702,80.7951015,0,38.57087996,535.3553682,816.1007807,43.13755827,46.50987703,0,650.8572361,0,0,0,130.6772946,483,0,0
27,408.8934702,80.7951015,0,38.57087996,535.3553682,816.1007807,43.13755827,46.50987703,0,650.8572361,0,0,0,130.6772946,483,0,0
28,408.8934702,80.7951015,0,38.57087996,535.3553682,816.1007807,43.13755827,46.50987703,0,650.8572361,0,0,0,130.6772946,483,0,0
29,408.8934702,80.7951015,0,38.57087996,535.3553682,816.1007807,43.13755827,46.50987703,0,650.8572361,0,0,0,130.6772946,483,0,0
30,408.8934702,80.7951015,0,38.57087996,535.3553682,816.1007807,43.13755827,46.50987703,0,650.8572361,0,0,0,130.6772946,483,0,0
31,408.8934702,80.7951015,0,38.57087996,535.3553682,816.1007807,43.13755827,46.50987703,0,650.8572361,0,0,0,130.6772946,483,0,0
32,408.8934702,80.7951015,0,38.57087996,535.3553682,816.1007807,43.13755827,46.50987703,0,650.8572361,0,0,0,130.6772946,483,0,0
33,408.8934702,80.7951015,0,38.57087996,535.3553682,816.1007807,43.13755827,46.50987703,0,650.8572361,0,0,0,130.6772946,483,0,0
34,408.8934702,80.7951015,0,38.57087996,535.3553682,816.1007807,43.13755827,46.50987703,0,650.8572361,0,0,0,130.6772946,483,0,0
35,408.8934702,80.7951015,0,38.57087996,535.3553682,816.1007807,43.13755827,46.50987703,0,650.8572361,0,0,0,130.6772946,483,0,0
36,408.8934702,80.7951015,0,38.57087996,535.3553682,816.1007807,43.13755827,46.50987703,0,650.8572361,0,0,0,130.6772946,483,0,0
37,408.8934702,80.7951015,0,38.57087996,535.3553682,816.1007807,43.13755827,46.50987703,0,650.8572361,0,0,0,130.6772946,483,0,0
38,408.8934702,80.7951015,0,38.57087996,535.3553682,816.1007807,43.13755827,46.50987703,0,650.8572361,0,0,0,130.6772946,483,0,0
39,408.8934702,80.7951015,0,38.57087996,535.3553682,816.1007807,43.13755827,46.50987703,0,650.8572361,0,0,0,130.6772946,483,0,0
40,408.8934702,80.7951015,0,38.57087996,535.3553682,816.1007807,43.13755827,46.50987703,0,650.8572361,0,0,0,130.6772946,483,0,0
41,408.8934702,80.7951015,0,38.57087996,535.3553682,816.1007807,43.13755827,46.50987703,0,650.8572361,0,0,0,130.6772946,483,0,0
42,408.8934702,80.7951015,0,38.57087996,535.3553682,816.1007807,43.13755827,46.50987703,0,650.8572361,0,0,0,130.6772946,483,0,0
43,408.8934702,80.7951015,0,38.57087996,535.3553682,816.1007807,43.13755827,46.50987703,0,650.8572361,0,0,0,130.6772946,483,0,0
44,408.8934702,80.7951015,0,38.57087996,535.3553682,816.1007807,43.13755827,46.50987703,0,650.8572361,0,0,0,130.6772946,483,0,0
45,408.8934702,80.7951015,0,38.57087996,535.3553682,816.1007807,43.13755827,46.50987703,0,650.8572361,0,0,0,130.6772946,483,0,0
46,408.8934702,80.7951015,0,38.57087996,535.3553682,816.1007807,43.13755827,46.50987703,0,650.8572361,0,0,0,130.6772946,483,0,0
47,408.8934702,80.7951015,0,38.57087996,535.3553682,816.1007807,43.13755827,46.50987703,0,650.8572361,0,0,0,130.6772946,483,0,0
48,408.8934702,80.7951015,0,38.57087996,535.3553682,816.1007807,43.13755827,46.50987703,0,650.8572361,0,0,0,130.6772946,483,0,0
49,403.2729414,80.0925354,0,38.21959691,526.924575,805.7730612,42.29447976,45.80731093,0,1000.032588,0,0,0,130.6772946,473,0,0
50,403.2729414,80.0925354,0,38.21959691,526.924575,805.7730612,42.29447976,45.80731093,0,1000.032588,0,0,0,130.6772946,473,0,0
51,403.2729414,80.0925354,0,38.21959691,526.924575,805.7730612,42.29447976,45.80731093,0,1000.032588,0,0,0,130.6772946,473,0,0
52,403.2729414,80.0925354,0,38.21959691,526.924575,805.7730612,42.29447976,45.80731093,0,1000.032588,0,0,0,130.6772946,473,0,0
53,403.2729414,80.0925354,0,38.21959691,526.924575,805.7730612,42.29447976,45.80731093,0,1000.032588,0,0,0,130.6772946,473,0,0
54,403.2729414,80.0925354,0,38.21959691,526.924575,805.7730612,42.29447976,45.80731093,0,1000.032588,0,0,0,130.6772946,473,0,0
55,403.2729414,80.0925354,0,38.21959691,526.924575,805.7730612,42.29447976,45.80731093,0,1000.032588,0,0,0,130.6772946,473,0,0
56,403.2729414,80.0925354,0,38.21959691,526.924575,805.7730612,42.29447976,45.80731093,0,1000.032588,0,0,0,130.6772946,473,0,0
57,403.2729414,80.0925354,0,38.21959691,526.924575,805.7730612,42.29447976,45.80731093,0,1000.032588,0,0,0,130.6772946,473,0,0
58,403.2729414,80.0925354,0,38.21959691,526.924575,805.7730612,42.29447976,45.80731093,0,1000.032588,0,0,0,130.6772946,473,0,0
59,403.2729414,80.0925354,0,38.21959691,526.924575,805.7730612,42.29447976,45.80731093,0,1000.032588,0,0,0,130.6772946,473,0,0
60,403.2729414,80.0925354,0,38.21959691,526.924575,805.7730612,42.29447976,45.80731093,0,1000.032588,0,0,0,130.6772946,473,0,0
61,403.2729414,80.0925354,0,38.21959691,526.924575,805.7730612,42.29447976,45.80731093,0,1000.032588,0,0,0,130.6772946,473,0,0
62,403.2729414,80.0925354,0,38.21959691,526.924575,805.7730612,42.29447976,45.80731093,0,1000.032588,0,0,0,130.6772946,473,0,0
63,403.2729414,80.0925354,0,38.21959691,526.924575,805.7730612,42.29447976,45.80731093,0,1000.032588,0,0,0,130.6772946,473,0,0
64,403.2729414,80.0925354,0,38.21959691,526.924575,805.7730612,42.29447976,45.80731093,0,1000.032588,0,0,0,130.6772946,473,0,0
65,403.2729414,80.0925354,0,38.21959691,526.924575,805.7730612,42.29447976,45.80731093,0,1000.032588,0,0,0,130.6772946,473,0,0
66,403.2729414,80.0925354,0,38.21959691,526.924575,805.7730612,42.29447976,45.80731093,0,1000.032588,0,0,0,130.6772946,473,0,0
67,403.2729414,80.0925354,0,38.21959691,526.924575,805.7730612,42.29447976,45.80731093,0,1000.032588,0,0,0,130.6772946,473,0,0
68,403.2729414,80.0925354,0,38.21959691,526.924575,805.7730612,42.29447976,45.80731093,0,1000.032588,0,0,0,130.6772946,473,0,0
69,403.2729414,80.0925354,0,38.21959691,526.924575,805.7730612,42.29447976,45.80731093,0,1000.032588,0,0,0,130.6772946,473,0,0
70,403.2729414,80.0925354,0,38.21959691,526.924575,805.7730612,42.29447976,45.80731093,0,1000.032588,0,0,0,130.6772946,473,0,0
71,403.2729414,80.0925354,0,38.21959691,526.924575,805.7730612,42.29447976,45.80731093,0,1000.032588,0,0,0,130.6772946,473,0,0
72,403.2729414,80.0925354,0,38.21959691,526.924575,805.7730612,42.29447976,45.80731093,0,1000.032588,0,0,0,130.6772946,473,0,0
73,399.0575448,79.3899693,0,38.00882494,514.9809513,800.4335572,41.59191366,45.38576899,0,971.9299438,0,0,0,130.6772946,519,0,0
74,399.0575448,79.3899693,0,38.00882494,514.9809513,800.4335572,41.59191366,45.38576899,0,971.9299438,0,0,0,130.6772946,519,0,0
75,399.0575448,79.3899693,0,38.00882494,514.9809513,800.4335572,41.59191366,45.38576899,0,971.9299438,0,0,0,130.6772946,519,0,0
76,399.0575448,79.3899693,0,38.00882494,514.9809513,800.4335572,41.59191366,45.38576899,0,971.9299438,0,0,0,130.6772946,519,0,0
77,399.0575448,79.3899693,0,38.00882494,514.9809513,800.4335572,41.59191366,45.38576899,0,971.9299438,0,0,0,130.6772946,519,0,0
78,399.0575448,79.3899693,0,38.00882494,514.9809513,800.4335572,41.59191366,45.38576899,0,971.9299438,0,0,0,130.6772946,519,0,0
79,399.0575448,79.3899693,0,38.00882494,514.9809513,800.4335572,41.59191366,45.38576899,0,971.9299438,0,0,0,130.6772946,519,0,0
80,399.0575448,79.3899693,0,38.00882494,514.9809513,800.4335572,41.59191366,45.38576899,0,971.9299438,0,0,0,130.6772946,519,0,0
81,399.0575448,79.3899693,0,38.00882494,514.9809513,800.4335572,41.59191366,45.38576899,0,971.9299438,0,0,0,130.6772946,519,0,0
82,399.0575448,79.3899693,0,38.00882494,514.9809513,800.4335572,41.59191366,45.38576899,0,971.9299438,0,0,0,130.6772946,519,0,0
83,399.0575448,79.3899693,0,38.00882494,514.9809513,800.4335572,41.59191366,45.38576899,0,971.9299438,0,0,0,130.6772946,519,0,0
84,399.0575448,79.3899693,0,38.00882494,514.9809513,800.4335572,41.59191366,45.38576899,0,971.9299438,0,0,0,130.6772946,519,0,0
85,399.0575448,79.3899693,0,38.00882494,514.9809513,800.4335572,41.59191366,45.38576899,0,971.9299438,0,0,0,130.6772946,519,0,0
86,399.0575448,79.3899693,0,38.00882494,514.9809513,800.4335572,41.59191366,45.38576899,0,971.9299438,0,0,0,130.6772946,519,0,0
87,399.0575448,79.3899693,0,38.00882494,514.9809513,800.4335572,41.59191366,45.38576899,0,971.9299438,0,0,0,130.6772946,519,0,0
88,399.0575448,79.3899693,0,38.00882494,514.9809513,800.4335572,41.59191366,45.38576899,0,971.9299438,0,0,0,130.6772946,519,0,0
89,399.0575448,79.3899693,0,38.00882494,514.9809513,800.4335572,41.59191366,45.38576899,0,971.9299438,0,0,0,130.6772946,519,0,0
90,399.0575448,79.3899693,0,38.00882494,514.9809513,800.4335572,41.59191366,45.38576899,0,971.9299438,0,0,0,130.6772946,519,0,0
91,399.0575448,79.3899693,0,38.00882494,514.9809513,800.4335572,41.59191366,45.38576899,0,971.9299438,0,0,0,130.6772946,519,0,0
92,399.0575448,79.3899693,0,38.00882494,514.9809513,800.4335572,41.59191366,45.38576899,0,971.9299438,0,0,0,130.6772946,519,0,0
93,399.0575448,79.3899693,0,38.00882494,514.9809513,800.4335572,41.59191366,45.38576899,0,971.9299438,0,0,0,130.6772946,519,0,0
94,399.0575448,79.3899693,0,38.00882494,514.9809513,800.4335572,41.59191366,45.38576899,0,971.9299438,0,0,0,130.6772946,519,0,0
95,399.0575448,79.3899693,0,38.00882494,514.9809513,800.4335572,41.59191366,45.38576899,0,971.9299438,0,0,0,130.6772946,519,0,0
96,399.0575448,79.3899693,0,38.00882494,514.9809513,800.4335572,41.59191366,45.38576899,0,971.9299438,0,0,0,130.6772946,519,0,0
97,393.437016,76.5797049,0,37.79805564,507.2527242,791.8622502,40.7488338,44.89397352,0,957.8786218,0,0,0,130.6772946,494,0,0
98,393.437016,76.5797049,0,37.79805564,507.2527242,791.8622502,40.7488338,44.89397352,0,957.8786218,0,0,0,130.6772946,494,0,0
99,393.437016,76.5797049,0,37.79805564,507.2527242,791.8622502,40.7488338,44.89397352,0,957.8786218,0,0,0,130.6772946,494,0,0
100,393.437016,76.5797049,0,37.79805564,507.2527242,791.8622502,40.7488338,44.89397352,0,957.8786218,0,0,0,130.6772946,494,0,0
101,393.437016,76.5797049,0,37.79805564,507.2527242,791.8622502,40.7488338,44.89397352,0,957.8786218,0,0,0,130.6772946,494,0,0
102,393.437016,76.5797049,0,37.79805564,507.2527242,791.8622502,40.7488338,44.89397352,0,957.8786218,0,0,0,130.6772946,494,0,0
