Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Rep_Periods,Timesteps_per_Rep_Period
20000,1,1,1,8760,1,15731,19434,31282,31240,6779,1,8760
,,,,,2,14335,18191,30785,30574,6663,,
,,,,,3,13624,17538,30562,29256,6503,,
,,,,,4,13012,16822,30577,28814,6417,,
,,,,,5,12581,16228,30776,28818,6371,,
,,,,,6,12676,16159,31355,29033,6394,,
,,,,,7,13085,16565,32282,29462,6494,,
,,,,,8,13619,16825,33018,29792,6678,,
,,,,,9,14196,17221,33671,30599,6789,,
,,,,,10,15464,18041,34185,31974,7050,,
,,,,,11,16654,19143,34541,33738,7289,,
,,,,,12,17762,20234,34868,34740,7425,,
,,,,,13,18710,21297,34698,36031,7430,,
,,,,,14,18888,21604,34287,35847,7316,,
,,,,,15,18977,21929,34187,35674,7144,,
,,,,,16,19029,22176,34430,36020,7141,,
,,,,,17,19473,22596,35543,37448,7328,,
,,,,,18,20806,23475,36198,39111,7602,,
,,,,,19,23454,26005,35478,38248,7566,,
,,,,,20,23074,25723,34643,37662,7335,,
,,,,,21,21673,24473,33948,36938,7162,,
,,,,,22,20359,23486,33429,35545,6973,,
,,,,,23,18754,22331,32678,34170,6725,,
,,,,,24,16731,20805,31869,32693,6421,,
,,,,,25,13746,18303,31632,31923,6143,,
,,,,,26,12608,17176,31634,31224,5950,,
,,,,,27,11890,16370,31930,30721,5825,,
,,,,,28,11654,16017,32635,30661,5799,,
,,,,,29,11533,15801,33424,30749,5759,,
,,,,,30,12023,16130,34567,31312,5729,,
,,,,,31,13102,17054,35961,32089,5860,,
,,,,,32,14666,18472,37165,33713,6103,,
,,,,,33,15490,19400,38156,34806,6422,,
,,,,,34,16314,19933,39472,36398,6756,,
,,,,,35,17459,21114,40075,37711,7064,,
,,,,,36,18638,22311,40385,38693,7324,,
,,,,,37,19369,23096,40120,39046,7503,,
,,,,,38,19391,23263,39815,39355,7549,,
,,,,,39,19656,23575,39554,39083,7556,,
,,,,,40,20832,24675,40294,39591,7600,,
,,,,,41,22416,26090,42128,41138,7827,,
,,,,,42,25515,28501,42826,43650,8207,,
,,,,,43,25809,29518,42355,43208,8281,,
,,,,,44,22844,27234,42065,42103,8114,,
,,,,,45,21570,26130,41489,41104,7961,,
,,,,,46,20265,25186,41133,40200,7852,,
,,,,,47,18528,23876,40140,38580,7608,,
,,,,,48,16814,22396,39343,36719,7394,,
,,,,,49,15493,20833,39246,35385,7163,,
,,,,,50,14454,19654,39562,34670,7053,,
,,,,,51,13901,18865,40021,34571,7029,,
,,,,,52,13764,18531,40819,34417,7119,,
,,,,,53,13803,18372,41755,34735,7274,,
,,,,,54,14549,18990,43341,35568,7546,,
,,,,,55,17077,21290,45424,37561,7821,,
,,,,,56,21248,25072,47133,40467,8284,,
,,,,,57,22682,27307,47054,41568,8761,,
,,,,,58,22466,27550,45521,42181,9129,,
,,,,,59,22483,27926,44586,42239,9172,,
,,,,,60,23008,28570,43910,41782,9123,,
,,,,,61,23331,29020,42846,40952,9059,,
,,,,,62,23233,28913,42329,40942,8983,,
,,,,,63,23565,29249,42385,40878,8945,,
,,,,,64,24701,30397,43927,41907,8997,,
,,,,,65,26501,32140,47021,43920,9219,,
,,,,,66,29707,34601,48758,46252,9680,,
,,,,,67,30548,35887,48188,45092,9779,,
,,,,,68,28215,33602,47587,43528,9601,,
,,,,,69,27180,32727,46751,42271,9494,,
,,,,,70,23800,29426,46275,40776,9279,,
,,,,,71,21750,27537,45048,38352,8986,,
,,,,,72,19918,25938,44383,36400,8768,,
,,,,,73,18215,23996,44110,35851,8685,,
,,,,,74,17101,22422,43900,34460,8578,,
,,,,,75,16500,21581,43624,33718,8519,,
,,,,,76,16300,21147,44068,33907,8566,,
,,,,,77,16325,20850,44139,33962,8678,,
,,,,,78,17036,21319,45167,35531,8898,,
,,,,,79,19582,23729,46747,37911,9228,,
,,,,,80,24118,27957,48087,39909,9562,,
,,,,,81,25716,30124,48557,41007,10006,,
,,,,,82,25316,29911,48165,41083,10203,,
,,,,,83,24913,30035,47836,40795,10215,,
,,,,,84,25206,30577,47280,40691,10151,,
,,,,,85,25325,30696,46554,40698,10026,,
,,,,,86,24901,30228,45879,39706,9761,,
,,,,,87,25068,30351,45368,39591,9563,,
,,,,,88,26194,31263,45705,41028,9457,,
,,,,,89,28064,32834,46655,42490,9636,,
,,,,,90,31220,35638,46637,44772,10102,,
,,,,,91,31373,36192,45741,43309,10286,,
,,,,,92,28719,33902,44600,42315,10130,,
,,,,,93,27442,32674,43153,40809,9978,,
,,,,,94,23637,29129,41759,39032,9675,,
,,,,,95,21390,27152,40154,37102,9284,,
,,,,,96,19430,25282,38735,35009,8929,,
,,,,,97,17355,22807,37824,33381,8723,,
,,,,,98,16173,21151,37443,32444,8494,,
,,,,,99,15519,20244,37408,31983,8335,,
,,,,,100,15280,19804,37771,31722,8264,,
,,,,,101,15196,19491,38163,31905,8217,,
,,,,,102,15834,19925,39513,33150,8309,,
,,,,,103,18247,22063,41298,35614,8549,,
,,,,,104,22444,25735,42869,38098,8960,,
,,,,,105,23837,27758,43296,39192,9323,,
,,,,,106,23460,27798,42766,40243,9461,,
,,,,,107,23341,27843,41859,40774,9293,,
,,,,,108,23588,27881,40779,41510,9092,,
,,,,,109,23545,27935,39779,42087,9010,,
,,,,,110,23187,27538,39539,41773,8798,,
,,,,,111,23453,27690,39905,41390,8596,,
,,,,,112,24610,28678,40431,41858,8483,,
,,,,,113,26331,30205,41983,42928,8544,,
,,,,,114,29238,32668,42706,44610,8776,,
,,,,,115,29574,33292,41922,43138,8683,,
,,,,,116,26834,30725,40865,42066,8424,,
,,,,,117,25611,29519,39637,41125,8112,,
,,,,,118,22313,26478,38211,39715,7772,,
,,,,,119,20204,24707,36685,37752,7337,,
,,,,,120,18278,23129,35410,35582,7040,,
,,,,,121,16499,21102,34757,34336,6714,,
,,,,,122,15405,19749,34578,33565,6448,,
,,,,,123,14814,18882,34438,33268,6318,,
,,,,,124,14594,18513,34522,33226,6234,,
,,,,,125,14472,18268,35036,33644,6231,,
,,,,,126,15083,18712,36156,34984,6359,,
,,,,,127,17466,20800,38524,37309,6636,,
,,,,,128,21306,23885,40325,39927,7030,,
,,,,,129,22592,25363,40793,41787,7418,,
,,,,,130,22279,25077,40470,42391,7685,,
,,,,,131,22126,25157,40510,41920,7722,,
,,,,,132,22339,25265,40551,42047,7686,,
,,,,,133,22352,25352,39875,41978,7713,,
,,,,,134,21947,24940,40093,41715,7581,,
,,,,,135,22155,25009,39928,41616,7456,,
,,,,,136,23218,26023,40606,42368,7386,,
,,,,,137,24894,27536,42587,44649,7612,,
,,,,,138,27605,29776,43670,46728,8020,,
,,,,,139,27381,29963,42934,45623,8169,,
,,,,,140,24276,27254,42284,44665,8051,,
,,,,,141,22912,25871,41656,43787,7938,,
,,,,,142,20182,23418,40592,41819,7734,,
,,,,,143,18412,21978,38951,39528,7431,,
,,,,,144,16867,20804,37739,37575,7209,,
,,,,,145,15960,20057,37217,36518,6993,,
,,,,,146,14317,18356,37102,35455,6807,,
,,,,,147,13744,17591,37223,35242,6725,,
,,,,,148,13384,17109,37581,34562,6728,,
,,,,,149,13104,16719,38370,35030,6783,,
,,,,,150,13428,16918,39685,36440,6964,,
,,,,,151,14209,17633,41921,38647,7291,,
,,,,,152,15167,18126,43688,41316,7830,,
,,,,,153,16252,18945,44392,43081,8335,,
,,,,,154,17818,20241,43560,43351,8620,,
,,,,,155,18990,21636,42766,42400,8798,,
,,,,,156,19866,22686,42143,41588,8947,,
,,,,,157,20558,23490,41776,41365,9038,,
,,,,,158,20283,23333,41205,41014,9002,,
,,,,,159,20129,23238,41261,41097,8840,,
,,,,,160,20024,23270,41719,41830,8641,,
,,,,,161,20599,23673,43273,43990,8704,,
,,,,,162,21519,24159,44519,47318,8948,,
,,,,,163,23840,26721,43950,46571,8926,,
,,,,,164,23336,26604,43713,46006,8743,,
,,,,,165,21879,25311,43059,44977,8522,,
,,,,,166,20655,24179,42326,43291,8264,,
,,,,,167,19184,22898,41246,41351,7986,,
,,,,,168,17258,21314,40467,39376,7817,,
,,,,,169,15126,19663,40434,38098,7605,,
,,,,,170,13624,18220,40536,37397,7484,,
,,,,,171,13094,17538,41071,36610,7390,,
,,,,,172,12720,17079,41752,36467,7350,,
,,,,,173,12491,16752,42681,36744,7407,,
,,,,,174,12690,16790,44001,36820,7548,,
,,,,,175,13213,17275,45989,37501,7750,,
,,,,,176,14012,17771,47443,38490,8104,,
,,,,,177,14933,18579,47173,39109,8520,,
,,,,,178,16508,19836,45951,39851,8893,,
,,,,,179,17804,21337,44827,40089,9007,,
,,,,,180,18978,22513,43637,39598,8956,,
,,,,,181,20049,23411,42535,39475,8733,,
,,,,,182,20198,23601,42135,39240,8571,,
,,,,,183,20328,23878,42072,39000,8377,,
,,,,,184,20458,24141,43845,40253,8339,,
,,,,,185,21075,24568,46701,41918,8565,,
,,,,,186,22341,25356,47826,44592,9075,,
,,,,,187,25036,28198,47132,43422,9421,,
,,,,,188,24751,28169,46162,41634,9364,,
,,,,,189,23421,27025,45144,40426,9241,,
,,,,,190,22124,26015,44112,39122,9090,,
,,,,,191,20352,24748,42571,37621,8870,,
,,,,,192,18060,22803,41136,36158,8644,,
,,,,,193,15246,20072,40485,34647,8417,,
,,,,,194,14323,19000,39977,33888,8260,,
,,,,,195,13833,18350,39560,33231,8197,,
,,,,,196,13768,18078,39621,32490,8181,,
,,,,,197,13792,17995,39656,32345,8169,,
,,,,,198,14555,18461,40173,32576,8195,,
,,,,,199,17109,20641,40783,33021,8311,,
,,,,,200,21307,24083,41118,34057,8515,,
,,,,,201,22738,25986,41916,35208,8779,,
,,,,,202,22387,26032,42646,36407,9053,,
,,,,,203,22242,26310,43040,37872,9222,,
,,,,,204,22554,26551,43318,38539,9259,,
,,,,,205,22649,26665,42955,39238,9246,,
,,,,,206,22227,26240,41907,39240,9136,,
,,,,,207,22353,26319,41089,39019,9061,,
,,,,,208,23282,27175,40540,39351,8949,,
,,,,,209,24829,28629,41499,40756,9012,,
,,,,,210,27675,31097,42027,42894,9160,,
,,,,,211,28501,31884,40955,42539,9029,,
,,,,,212,25916,29645,40028,41773,8679,,
,,,,,213,24683,28352,39270,40892,8356,,
,,,,,214,21593,25516,38310,39581,8000,,
,,,,,215,19438,23717,37385,37946,7599,,
,,,,,216,17537,22134,36492,36430,7176,,
,,,,,217,15795,20353,36246,35367,6869,,
,,,,,218,14667,19073,36763,34883,6667,,
,,,,,219,14079,18336,37627,34400,6567,,
,,,,,220,13856,18001,38379,34373,6540,,
,,,,,221,13798,17777,39614,35233,6606,,
,,,,,222,14485,18306,41582,36477,6855,,
,,,,,223,16874,20384,44230,38693,7327,,
,,,,,224,20878,23686,46536,41803,7896,,
,,,,,225,22178,25450,46811,42725,8558,,
,,,,,226,21790,25522,45580,43018,8913,,
,,,,,227,21774,25797,44395,41948,8952,,
,,,,,228,22144,25834,43214,42280,8882,,
,,,,,229,22237,26042,42915,42354,8856,,
,,,,,230,21830,25672,42526,42257,8748,,
,,,,,231,22021,25862,42708,42571,8676,,
,,,,,232,23136,26968,44554,43258,8731,,
,,,,,233,24778,28690,47730,45131,9042,,
,,,,,234,27654,31097,49227,47551,9537,,
,,,,,235,27955,31357,48923,46986,9852,,
,,,,,236,25189,28841,48595,46257,9778,,
,,,,,237,23978,27567,47899,45152,9670,,
,,,,,238,21076,24893,47153,43424,9501,,
,,,,,239,19038,23218,46273,41886,9324,,
,,,,,240,17184,21683,45633,40472,9133,,
,,,,,241,15489,20109,45541,39095,8958,,
,,,,,242,14433,18809,46160,38366,8922,,
,,,,,243,13878,18128,46743,38040,8952,,
