Time_Index,QC_conventional_hydroelectric_p1,QC_run_of_river_p2,QC_small_hydroelectric_p3,QC_small_hydroelectric_p4,QC_conventional_hydroelectric_p5,QC_small_hydroelectric_p6_7,QC_run_of_river_p8,QC_conventional_hydroelectric_p9_10,QC_run_of_river_p11,QC_conventional_hydroelectric_p12_13,QC_run_of_river_p14,QC_run_of_river_p15,QC_run_of_river_p16,QC_small_hydroelectric_p17,QC_conventional_hydroelectric_p18,QC_run_of_river_p19,QC_run_of_river_p20
1,590,117,0,55.79999924,778,1141.3,62.50000191,67.59999943,0,812.4000015,0,0,0,196,446,0,0
2,590,117,0,55.79999924,778,1141.3,62.50000191,67.59999943,0,812.4000015,0,0,0,196,446,0,0
3,590,117,0,55.79999924,778,1141.3,62.50000191,67.59999943,0,812.4000015,0,0,0,196,446,0,0
4,590,117,0,55.79999924,778,1141.3,62.50000191,67.59999943,0,812.4000015,0,0,0,196,446,0,0
5,590,117,0,55.79999924,778,1141.3,62.50000191,67.59999943,0,812.4000015,0,0,0,196,446,0,0
6,590,117,0,55.79999924,778,1141.3,62.50000191,67.59999943,0,812.4000015,0,0,0,196,446,0,0
7,590,117,0,55.79999924,778,1141.3,62.50000191,67.59999943,0,812.4000015,0,0,0,196,446,0,0
8,590,117,0,55.79999924,778,1141.3,62.50000191,67.59999943,0,812.4000015,0,0,0,196,446,0,0
9,590,117,0,55.79999924,778,1141.3,62.50000191,67.59999943,0,812.4000015,0,0,0,196,446,0,0
10,590,117,0,55.79999924,778,1141.3,62.50000191,67.59999943,0,812.4000015,0,0,0,196,446,0,0
11,590,117,0,55.79999924,778,1141.3,62.50000191,67.59999943,0,812.4000015,0,0,0,196,446,0,0
12,590,117,0,55.79999924,778,1141.3,62.50000191,67.59999943,0,812.4000015,0,0,0,196,446,0,0
13,590,117,0,55.79999924,778,1141.3,62.50000191,67.59999943,0,812.4000015,0,0,0,196,446,0,0
14,590,117,0,55.79999924,778,1141.3,62.50000191,67.59999943,0,812.4000015,0,0,0,196,446,0,0
15,590,117,0,55.79999924,778,1141.3,62.50000191,67.59999943,0,812.4000015,0,0,0,196,446,0,0
16,590,117,0,55.79999924,778,1141.3,62.50000191,67.59999943,0,812.4000015,0,0,0,196,446,0,0
17,590,117,0,55.79999924,778,1141.3,62.50000191,67.59999943,0,812.4000015,0,0,0,196,446,0,0
18,590,117,0,55.79999924,778,1141.3,62.50000191,67.59999943,0,812.4000015,0,0,0,196,446,0,0
19,590,117,0,55.79999924,778,1141.3,62.50000191,67.59999943,0,812.4000015,0,0,0,196,446,0,0
20,590,117,0,55.79999924,778,1141.3,62.50000191,67.59999943,0,812.4000015,0,0,0,196,446,0,0
21,590,117,0,55.79999924,778,1141.3,62.50000191,67.59999943,0,812.4000015,0,0,0,196,446,0,0
22,590,117,0,55.79999924,778,1141.3,62.50000191,67.59999943,0,812.4000015,0,0,0,196,446,0,0
23,590,117,0,55.79999924,778,1141.3,62.50000191,67.59999943,0,812.4000015,0,0,0,196,446,0,0
24,590,117,0,55.79999924,778,1141.3,62.50000191,67.59999943,0,812.4000015,0,0,0,196,446,0,0
25,582,115,0,54.90000153,762,1161.599998,61.39999962,66.20000172,0,926.4000015,0,0,0,186,483,0,0
