Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Rep_Periods,Timesteps_per_Rep_Period
20000,1,1,1,8760,1,15731,19434,47501.5968,51456.37239,6779,1,8760
,,,,,2,14335,18191,50353.29072,53187.46528,6663,,
,,,,,3,13624,17538,52061.75008,54548.32155,6503,,
,,,,,4,13012,16822,53173.485,55164.07531,6417,,
,,,,,5,12581,16228,53544.94069,54591.67888,6371,,
,,,,,6,12676,16159,54860.21153,55416.36367,6394,,
,,,,,7,13085,16565,45984.44973,45931.02572,6494,,
,,,,,8,13619,16825,44695.15461,44121.71621,6678,,
,,,,,9,14196,17221,44036.55887,42745.55937,6789,,
,,,,,10,15464,18041,43397.62347,40724.59201,7050,,
,,,,,11,16654,19143,42998.46307,38952.72964,7289,,
,,,,,12,17762,20234,42896.91081,37886.0081,7425,,
,,,,,13,18710,21297,43020.14465,37557.12568,7430,,
,,,,,14,18888,21604,45109.54783,40255.95537,7316,,
,,,,,15,18977,21929,45127.99102,40859.63546,7144,,
,,,,,16,19029,22176,43102.24934,39395.37308,7141,,
,,,,,17,19473,22596,40809.39987,37772.71294,7328,,
,,,,,18,20806,23475,38626.63881,35946.46024,7602,,
,,,,,19,23454,26005,37125.51466,34769.91496,7566,,
,,,,,20,23074,25723,36183.47214,34009.56551,7335,,
,,,,,21,21673,24473,35816.41104,33765.50316,7162,,
,,,,,22,20359,23486,35748.89164,33550.9087,6973,,
,,,,,23,18754,22331,36208.50296,34172.53231,6725,,
,,,,,24,16731,20805,36814.33781,35343.4356,6421,,
,,,,,25,13746,18303,38202.38845,37445.41336,6143,,
,,,,,26,12608,17176,37284.67768,37941.5731,5950,,
,,,,,27,11890,16370,37430.07367,38427.16482,5825,,
,,,,,28,11654,16017,37522.2633,38560.98877,5799,,
,,,,,29,11533,15801,37231.85671,37881.10549,5759,,
,,,,,30,12023,16130,37359.73052,37984.43771,5729,,
,,,,,31,13102,17054,36360.15819,36588.53481,5860,,
,,,,,32,14666,18472,34432.77584,34372.92743,6103,,
,,,,,33,15490,19400,33060.13205,32804.09848,6422,,
,,,,,34,16314,19933,31816.74041,31010.45094,6756,,
,,,,,35,17459,21114,30834.71487,29623.47712,7064,,
,,,,,36,18638,22311,30510.86037,29230.95718,7324,,
,,,,,37,19369,23096,30489.60238,29498.07262,7503,,
,,,,,38,19391,23263,31999.26317,32552.44289,7549,,
,,,,,39,19656,23575,32407.03478,33894.74605,7556,,
,,,,,40,20832,24675,31749.11924,33538.34569,7600,,
,,,,,41,22416,26090,31140.45553,32820.0492,7827,,
,,,,,42,25515,28501,30231.28002,31499.93785,8207,,
,,,,,43,25809,29518,29490.22157,30733.74789,8281,,
,,,,,44,22844,27234,28919.09204,30311.60637,8114,,
,,,,,45,21570,26130,28651.29394,30418.78362,7961,,
,,,,,46,20265,25186,28505.8717,30687.14539,7852,,
,,,,,47,18528,23876,28688.68868,32104.49529,7608,,
,,,,,48,16814,22396,29306.25893,34328.36335,7394,,
,,,,,49,15493,20833,30670.53655,37503.33833,7163,,
,,,,,50,14454,19654,33301.04356,42945.86365,7053,,
