Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z8,Load_MW_z6,Load_MW_z7,Load_MW_z18,Load_MW_z10,Load_MW_z5,Load_MW_z9,Load_MW_z13,Load_MW_z11,Load_MW_z14,Load_MW_z12,Load_MW_z20,Load_MW_z19,Load_MW_z21,Load_MW_z27,Load_MW_z28,Load_MW_z22,Load_MW_z29,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26,Load_MW_z34,Load_MW_z36,Load_MW_z35,Load_MW_z37,Load_MW_z31,Load_MW_z38,Load_MW_z32,Load_MW_z30,Load_MW_z33,Load_MW_z45,Load_MW_z44,Load_MW_z47,Load_MW_z48,Load_MW_z46,Load_MW_z40,Load_MW_z42,Load_MW_z41,Load_MW_z43,Load_MW_z39,Load_MW_z62,Load_MW_z60,Load_MW_z55,Load_MW_z64,Load_MW_z53,Load_MW_z63,Load_MW_z56,Load_MW_z59,Load_MW_z52,Load_MW_z57,Load_MW_z58,Load_MW_z61,Load_MW_z54,Load_MW_z49,Load_MW_z50,Load_MW_z51
10000,1,1,1,10000,1,8760,1,1,46580,11625,10513.0,29712,13729,13104,12860,12050,13241,20260,14479,19933,11462,13080,19256,14911,12506,16648,18535,13113,11331,11238,10937,11857,10212,11149,12034,16506,11993,15502,18511,22001,21394,26395,12011,16203,14132,27778,18545,13682,11437,11307,21305,14143,27014,10812,33127,31924,19197,18042,12737,10150,12112,14194,11302,31807,17993,13541,14540,12877,11435,20167,17631,12533
,,,,,,,,2,45055,11558,10432.0,28512,13540,12813,12767,11984,13059,19954,14251,19454,11415,12981,18900,14449,12396,16378,17911,12873,11244,11175,10890,11763,10201,11091,11931,16151,11884,15275,18162,21331,21101,25492,11913,15960,13932,27137,17415,13018,11359,11275,19608,14001,26472,10735,32398,31523,18941,17747,12637,10143,12025,13952,11276,30652,17613,13471,14348,12793,11367,19684,17269,12413
,,,,,,,,3,44101,11515,10416.0,27904,13421,12712,12654,11922,12965,19685,14109,19047,11373,12889,18495,14335,12327,16055,17512,12715,11190,11132,10857,11698,10194,11051,11859,15942,11820,15158,17958,20987,20972,25041,11861,15829,13825,26740,17210,12913,11319,11249,19274,13912,26018,10716,31918,31729,18650,17471,12631,10136,11939,13828,11245,29674,17231,13387,14059,12720,11298,19197,16903,12292
,,,,,,,,4,43334,11481,10408.0,27665,13341,12654,12602,11895,12865,19486,14013,18807,11363,12849,18333,14326,12274,15907,17164,12593,11151,11083,10820,11625,10185,11006,11780,15712,11749,15102,17853,20611,21000,24832,11833,15832,13766,26520,17165,12858,11285,11254,19110,13849,25707,10715,31715,32135,18608,17184,12465,10129,11867,13706,11206,28920,16838,13281,13973,12693,11227,18698,16528,12167
,,,,,,,,5,42837,11459,10409.0,27795,13262,12607,12563,11887,12790,19460,13917,18663,11368,12839,18215,14357,12235,15817,16952,12518,11133,11048,10793,11572,10179,10973,11722,15536,11695,15126,17808,20330,21111,24814,11843,15850,13788,26455,17178,12831,11267,11271,19012,13813,25554,10720,31740,32807,18374,17280,12389,10121,11825,13657,11170,28166,16425,13182,13845,12783,11154,18179,16134,12036
,,,,,,,,6,42720,11454,10418.0,28433,13239,12600,12554,11895,12785,19452,13890,18693,11389,12851,18167,14431,12225,15809,16940,12524,11137,11036,10784,11554,10177,10962,11702,15477,11677,15233,17876,20312,21520,25082,11877,16042,13857,26613,17251,12835,11258,11296,19032,13822,25664,10732,32027,33891,18354,17195,12368,10117,11806,13614,11154,27820,16207,13140,13798,12756,11115,17898,15926,11967
,,,,,,,,7,43289,11479,10462.0,29089,13304,12670,12610,11948,12823,19661,13968,18909,11435,12932,18323,14586,12265,15941,17094,12586,11163,11047,10792,11570,10179,10972,11720,15583,11710,15418,18027,20452,22000,25702,11955,16304,14018,26988,17439,12901,11274,11342,19263,13925,26008,10758,32569,34944,18383,17136,12359,10114,11798,13633,11143,27652,16052,13110,13763,12725,11087,17700,15778,11918
,,,,,,,,8,44340,11526,10541.0,30982,13371,12754,12669,12011,12904,19785,14049,19210,11476,13029,18613,14770,12331,16169,17284,12658,11206,11048,10793,11572,10179,10973,11722,15594,11713,15554,18161,20748,22424,25750,11996,16494,14101,27322,17705,13005,11310,11391,19519,14003,26429,10788,33302,35635,18511,17170,12400,10113,11817,13719,11141,27752,15993,13105,13789,12731,11076,17624,15722,11899
,,,,,,,,9,45188,11563,10593.0,32677,13476,12840,12763,12065,12988,19997,14175,19476,11513,13111,18898,14853,12392,16328,17535,12736,11271,11060,10803,11591,10181,10985,11742,15702,11746,15717,18320,21057,22660,26153,12063,16678,14239,27713,17804,13106,11344,11417,19861,14147,27057,10802,34045,34915,18848,17327,12488,10114,11870,13819,11155,28322,16085,13143,13902,12740,11092,17741,15809,11928
,,,,,,,,10,46347,11615,10574.0,34169,13630,12970,12861,12120,13077,20389,14360,19919,11570,13195,19242,14914,12478,16577,18078,12939,11386,11096,10830,11645,10188,11018,11802,15908,11809,15865,18644,21382,22527,26642,12135,16752,14387,28264,17882,13143,11378,11466,20174,14258,27373,10812,34321,33797,18976,17299,12583,10118,11946,13879,11155,29301,16283,13147,14019,12739,11128,17990,15999,11991
